desarrollador,oferta,fuente,localidad,precio_min,precio_max,fecha_consulta,lat,lon,precio,superficie,colonia,descripcion,mts_const,mts,colloc,precio_m2
,lotes en venta campo magno,easybroker,,,,2024-03-20 06:52:16.743741,21.1204163,-89.6270137,1600000.0,,,,,,,
,terreno en venta en komchen de una hectarea,easybroker,komchen,,,2024-03-20 06:52:16.743741,21.1030877,-89.6613591,3000000.0,,komchen,,,,komchen,
,terreno en venta en merida cholul oviedo.,easybroker,cholul,,,2024-03-20 06:52:16.743741,21.0411724,-89.5550539,1204000.0,,cholul,,,,cholul,
,terreno en venta en cholul privada aria,easybroker,cholul,,,2024-03-20 06:52:16.743741,21.0411724,-89.5550539,1001772.0,,cholul,,,,cholul,
,terreno en venta en merida cutzam country club,easybroker,,,,2024-03-20 06:52:16.743741,21.1205215,-89.6001108,4600000.0,,,,,,,
,terreno en venta en merida simaruba,easybroker,,,,2024-03-20 06:52:16.743741,,,1820000.0,,,,,,,
,lotes residenciales en campo de golf merida,easybroker,,,,2024-03-20 06:52:16.743741,21.1440709233,-89.671097387,2375848.0,,,,,,,
,terrenos en venta zona norte de merida,easybroker,,,,2024-03-20 06:52:16.743741,21.1342241689,-89.6751305588,937500.0,,,,,,,
,3 terrenos juntos en venta en kikteilkomchen,easybroker,komchen,,,2024-03-20 06:52:16.743741,21.1399882021,-89.7091197748,450000.0,,,,,,komchen,
,terreno con construccion en venta en colonia buenavista,easybroker,buenavista,,,2024-03-20 06:52:16.743741,20.9976031671,-89.619448185,7800000.0,,buenavista,,,,buenavista,
,terreno residencial en venta en country club,easybroker,,,,2024-03-20 06:52:16.743741,21.1182918558,-89.6008443832,8671000.0,,,,,,,
,3 lotes en privada rejoyada merida,easybroker,,,,2024-03-20 06:52:16.743741,21.1169729,-89.6732955,1750000.0,,,,,,,
,terreno en venta cerca de country club yucatan,easybroker,yucatan,,,2024-03-20 06:52:16.743741,21.0987252,-89.5982084,1900000.0,,,,,,yucatan,
,terreno en esquina cuenta con servicios de 770m2,easybroker,,,,2024-03-20 06:52:16.743741,21.0483333,-89.6780555,990000.0,,dzitya,,,,dzitya,
,terreno en venta temozon norte,easybroker,temozon norte,,,2024-03-20 06:52:16.743741,21.0775325774,-89.6118709264,5000000.0,,,,,,temozon norte,
